,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys,watchCd,url,runtime
7066,19760113,야성의 숲,Wild Forest,19761009,한국,5,세경흥업(주),12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_185%2F1324505113730Xi1zP_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,105.0
7067,19470016,바다의 정열,Passion Of The Sea,19470925,한국,5,금성영화사,all,,
7068,19820086,외팔이 여신용,The One-Armed Yeo Shin-Yong,19821204,한국,2,태창흥업,19,,85.0
7069,20080903,육식동물,Carnivorous Animal,19850323,한국,5,신한영화(주),19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210405_202%2F1617601625446uESJJ_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,105.0
7070,20212391,2차 송환,The 2nd Repatriation,20220929,한국,6,푸른영상,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220831_1%2F1661932747003vukfI_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,156.0
7071,19760058,거대한 음모,Big Plot,19760829,한국,0,국제,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_27%2F1324449869122JGjof_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,96.0
7072,19760122,사나이 악수,Handshake Between Men,19761114,한국,5,연방영화(주) ,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_102%2F1324499322751klpbe_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,87.0
7073,19930061,마당쇠와 언년이,Madang Soe And Eonnyeon Yi,19940209,한국,5,범진영화(주),19,,93.0
7074,20080905,봉선화,A Touch-Me-Not,19561110,한국,2,김기영프로덕션,all,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111216_2%2F1324029226723EONEX_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,
7075,19860011,왜불러,Watcha Want?,19860301,한국,5,(주)화천공사,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20191112_289%2F1573521037980Tw9po_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,95.0
7076,20060143,언러브드,Unloved,20060524,일본,1,반다이비쥬얼컴패니,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_11%2F13244497451123bEF9_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,117.0
7077,20090124,구천동 화방,Kisaeng In Koochung Dong,19900413,한국,2,(주)다남흥업,19,,91.0
7078,19950007,머저리와 등신들,Idiots And Fools,19950819,한국,7,(주)한영필림,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_179%2F1324472400900teFvi_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,132.0
7079,19850026,도시에서 우는 매미,Cicada Singing In The City,19850413,한국,5,국제,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_182%2F13236729301754YiCK_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
7080,19600084,낙화암과 삼천궁녀,Rock of falling blossoms and three thousand court ladies,19600512,한국,2,명신영화사,all,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_25%2F1323672746079sIIAn_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,
7081,19900018,영웅무색,Hero'S Color,19900901,한국,0,(주)연흥아세아,15,,90.0
7082,19760094,내 마음의 풍차,Windmill Of My Mind,19760305,한국,5,(주)화천공사,12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_298%2F13244810295060LvOn_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7083,20060419,아포칼립토,Apocalypto,20070131,미국,0,터치스톤 픽처스,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_1%2F1324523886413EojlI_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,137.0
7084,20000142,체크포인트,Checkpoint,20000421,러시아,11,CTB 필름 컴퍼니,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170829_206%2F1503968743915zDwBP_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,91.0
7085,20070391,미스터 브룩스,Mr. Brooks,20070830,미국,10,메트로-골드윈-마이어,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20150825_65%2F14404802531768SnuA_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,120.0
7086,19860123,폴리스아카데미 3-재훈련,Police Academy 3: Back In Trainin,19861101,미국,0,워너 브러더스 픽쳐스,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_178%2F1324483798899YIkT4_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,85.0
7087,19910293,"사랑,모니터 그리고 비상구",Lower Level,19911005,미국,10,오버시즈 필름그룹,19,,87.0
7088,20050056,걸스 온 탑2,Girls On Top 2,20050331,독일,7,올가 필름,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_145%2F1324478320651Tc8IC_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,88.0
7089,20100297,축구의 신: 마라도나,Maradona By Kusturica,20100603,스페인,6,에스튜디오스 피카소,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_12%2F1324614574654J0FiY_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,96.0
7090,19710012,신상,Haati Mere Saati,19750208,인도,5,(주)우진필림,all,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210621_213%2F1624246346779BmboO_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,153.0
7091,19980144,어글리,The Ugly,19980530,뉴질랜드,8,에센셜 필름프로덕션,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_117%2F1324619143067XtgTc_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,92.0
