,movie,sentence,score,movieCd,movieNm
4697,자백,"와 오랜만에 한국영화 재밌게 봤어요!! 다들 연기 너무 잘하는데 특히 소지섭, 김윤진 연기 진심 미쳤습니다...!!! 스토리도 흡입력 있어서 계속 집중하면서 봤어요. 기대 안했는데 반전을 예측하는 재미가 있었고 너무 좋았습니다. 원작도 있다는데 이거도 나중에 보려구요",10,20198429,자백
4698,자백,"와 오랜만에 한국영화 재밌게 봤어요!! 다들 연기 너무 잘하는데 특히 소지섭, 김윤진 연기 진심 미쳤습니다...!!! 스토리도 흡입력 있어서 계속 집중하면서 봤어요. 기대 안했는데 반전을 예측하는 재미가 있었고 너무 좋았습니다. 원작도 있다는데 이거도 나중에 보려구요",10,20163041,자백
4700,리멤버,친일파 문제는 과거의 문제인것이 아니라 현재에도 해결해야할 과제임을 무겁지않게 감동은 주면서 잘풀어낸것 같아요 잘봤어요,10,20198461,리멤버
4701,리멤버,평일 낮이라 생각보다 사람이 적어 놀랬는데 혼자가서 집중해서 볼수 있어서 좋았음. 이성민배우님 연기나 눈빛도 너무 좋았고 남주혁 배우님 연기가 좋아서 놀랐음. 눈빛도 너무 좋고 뭣보다 잘생겼음 ,9,20198461,리멤버
4702,리멤버,좋아하는 장르여서 재밌게 봤어요,8,20198461,리멤버
4703,리멤버,좌파들이 환장 할 영화+쓸데없이 긴 런닝타임+억지 감동 3박자 환상의 콜라보제발 이 돈 아껴서 연말에 아바타2 보세요,1,20198461,리멤버
4706,늑대사냥,"정말 솔직하게 40분정도까지는 흥미진진하고 스토리, 연기 다좋음 but 그이후로 보다잠듬 ㅋㅋ괴물나온이후로 몰입력 존나깨짐",1,20211472,늑대사냥
4708,헤어질 결심,진짜진짜 개개ㅐ개개ㅐㄱ개ㅐ개개개ㅐㄱ개 재미없어요;;; 리뷰알바 쓰셨나봐요,1,20209654,헤어질 결심
4709,늑대사냥,스토리 연출 폭망인데 그와중에 반일팔이로 어찌 해볼려는ㅋ,1,20211472,늑대사냥
4710,컴백홈,영화관용은 아니고 ㅋㅋ 근데 은은하게 웃김. 인교진 ㅋㅋ 송새벽딸 ㄷㄷ싱크가 ㅋㅋ ,6,20217624,컴백홈
4711,리멤버,반일영화 인가요?일본이 세계에서2위로 경제 국가 .중국보다 일본이 좋아요.,2,20198461,리멤버
4714,리멤버,그시대에 나라면 과연 떳떳하게 살수있었을까..?,10,20198461,리멤버
4716,늑대사냥,서인국연기만 보임..중반이후 일본영화보는줄..난해하고.스토리이상..,4,20211472,늑대사냥
4717,리멤버,요즘시기적절한영화이네요,10,20198461,리멤버
4718,자백,오랜만에 영화에만 집중할수 있는 영화찐으루 영화 잘봤다 좋은 선택이었습니다,10,20198429,자백
4719,자백,오랜만에 영화에만 집중할수 있는 영화찐으루 영화 잘봤다 좋은 선택이었습니다,10,20163041,자백
4720,리멤버,"와.. 저는 사실 무슨 내용인지, 무슨 장르인지, 다른 배우들은 누가 나오는지도 모르고 그냥 주혁선배 보러 간거거든요.. 근데 일단 주혁선배 미모 때문에 눈 너무 절겁고 긴장감 미쳤고 스트레스가 풀리다가 스트레스를 받다가 울다가 하다가 끝났어요 와 뭐죠 이 영화.. 너무 굉장해요! ",10,20198461,리멤버
4723,리멤버,최동훈의 &amp;lt;암살&amp;gt; 의 현대 배경 버전. 쟝르 영화의 장치를 통해서 친일 청산을 묻는다. &amp;lt;검사외전&amp;gt; 이일형 감독의 성공적인 신작!,9,20198461,리멤버
4725,정직한 후보2,다음에는  죄명이랑 죄앙이랑 사이좋게  법카로 초밥 먹는 영화  만들어주세용. .♡ 혜경궁 김씨는  사랑입니다.,10,20219628,정직한 후보2
4726,자백,대체적으로 볼만했습니다.,8,20198429,자백
4727,자백,대체적으로 볼만했습니다.,8,20163041,자백
4729,늑대사냥,서인국 때문에 봣는데 죽여버리네 ,2,20211472,늑대사냥
4731,프리즌,고구마 노국장은 반성은 커녕 뭐 한게 있다고 다차린 밥상에 올라가 춤추고 난리임??? 영화 유일의 발암 캐릭터,7,20162181,프리즌
4732,자백,정말 탄탄해요 입을 계속 벌리고 봤어요,10,20198429,자백
4733,자백,정말 탄탄해요 입을 계속 벌리고 봤어요,10,20163041,자백
4734,리멤버,감동 웃음 먹먹한 여운까지..,10,20198461,리멤버
4735,리멤버,정말 재밌게 보고왔어요!!!!울고 웃고 했네요ㅋㅋ두 배우님의 연기도 최고였습니다,10,20198461,리멤버
4736,컴백홈,세기말감성 코미디영화여서 깜놀...,3,20217624,컴백홈
4738,늑대사냥,첨에는 뻔한 클리셰 좀 섞인 피칠갑 고어액션영화인줄 알았는데 갑자기 스토리가 이상하게 흘러감;; 뜬금없이 판타지적인 요소가 섞여나오면서 괴물 스릴러 서바이벌 영화로 변하는데 보면서 이게 대체 무슨 장르인지 이해가 안감 ㅋㅋ,1,20211472,늑대사냥
4739,리멤버,반일선동 찌라시 영화 지겹다.,2,20198461,리멤버
4740,리멤버,"후반에는 마음이 먹먹했습니다,지금도 친일파 후손은 잘먹고 잘살겠죠..우리의 가슴아픈 역사를 다시한번 새기겠습니다.",8,20198461,리멤버
4742,자백,김윤진 배우 연기는...좀 어색하지만 소지섭 배우와 나나의 연기가 너무 좋았습니다.,10,20198429,자백
4743,자백,김윤진 배우 연기는...좀 어색하지만 소지섭 배우와 나나의 연기가 너무 좋았습니다.,10,20163041,자백
4744,캐릭터,영화 재밌게 잘 감상했습니다.,6,19990115,캐릭터
4745,리멤버,나에게는 깊은 여운이 남는 영화였다,10,20198461,리멤버
4747,리멤버,믿고보는 이성민 배우  연기도  소재도  모두 좋았어요. 남주혁배우 정만식 배우도 멋져요,10,20198461,리멤버
4748,자백,"원작 영화는 안 보고 봤는데, 반전 정말 재미있고, 배우들 연기 변신 좋음. 소지섭 변신 좋고, 나나 연기 특히 좋음. ",10,20198429,자백
4749,자백,"원작 영화는 안 보고 봤는데, 반전 정말 재미있고, 배우들 연기 변신 좋음. 소지섭 변신 좋고, 나나 연기 특히 좋음. ",10,20163041,자백
