,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
44865,20380221,이지윤,감독,너에게 가는 길,20217102
44866,20309172,허윤수,감독,너에게 가는 길,20217102
44867,10058080,이혁상,감독,너에게 가는 길,20217102
44868,10005439,김일란,감독,너에게 가는 길,20217102
44869,20302873,이솜이,감독,너에게 가는 길,20217102
44879,20180729,박영호,감독,맞짱,20078584
44888,20193133,박준영,감독,"의궤, 8일간의 축제 3D",20148494
44889,20188646,최필곤,감독,"의궤, 8일간의 축제 3D",20148494
44905,10058653,임승미,감독,두 사람이다,20070305
44906,10050086,오기환,감독,두 사람이다,20070305
44907,10001414,경지숙,감독,두 사람이다,20070305
44914,20110995,박흥식,감독,두 번째 스물,20155301
44915,20110814,박수영,감독,두 번째 스물,20155301
44918,20376798,권수진,감독,소녀의 기도,19760023
44919,10005375,김응천,감독,소녀의 기도,19760023
44932,20290510,현승휘,감독,숏버스 감독행,20211700
44933,20306850,박형남,감독,숏버스 감독행,20211700
44934,20307370,이상빈,감독,숏버스 감독행,20211700
44935,20189628,진채린,감독,숏버스 감독행,20211700
44936,20188932,김현진,감독,숏버스 감독행,20211700
44937,20306473,김건휘,감독,숏버스 감독행,20211700
44938,20278709,정가영,감독,숏버스 감독행,20211700
44939,20359652,조현서,감독,숏버스 감독행,20211700
44940,20359432,심규택,감독,숏버스 감독행,20211700
44941,20350855,정재훈,감독,숏버스 감독행,20211700
44942,20346092,최진영,감독,숏버스 감독행,20211700
44943,20213746,윤철수,감독,숏버스 감독행,20211700
44944,20330834,최한규,감독,숏버스 감독행,20211700
44945,20330833,임예성,감독,숏버스 감독행,20211700
44946,20330194,서정미,감독,숏버스 감독행,20211700
44947,20328072,박한샘,감독,숏버스 감독행,20211700
44948,20326752,강동인,감독,숏버스 감독행,20211700
44949,20326114,양소영,감독,숏버스 감독행,20211700
44950,20275010,한아름,감독,숏버스 감독행,20211700
44951,20318895,정호진,감독,숏버스 감독행,20211700
44952,20310732,전혜은,감독,숏버스 감독행,20211700
44953,20310599,석진혁,감독,숏버스 감독행,20211700
44954,20309291,이주희,감독,숏버스 감독행,20211700
44955,20306531,김윤선,감독,숏버스 감독행,20211700
44956,20306530,박인아,감독,숏버스 감독행,20211700
44957,20292018,이수지,감독,숏버스 감독행,20211700
44958,20234766,정시온,감독,숏버스 감독행,20211700
44959,20239526,이원근,감독,숏버스 감독행,20211700
44979,10006480,김회근,감독,악인은 너무 많다 2 - 제주 실종사건의 전말,20210038
45037,20189128,류보라,감독,해바라기,19820110
45038,20189128,류보라,감독,해바라기,20060353
45039,10033078,비토리오 데 시카,감독,해바라기,19820110
45040,10033078,비토리오 데 시카,감독,해바라기,20060353
45056,20219231,김경주,감독,죽이러 간다,20211219
45057,10028532,박남원,감독,죽이러 간다,20211219
45075,20112454,김택규,감독,루시드 드림,20156562
45076,20122844,김준성,감독,루시드 드림,20156562
45101,10089901,홍창표,감독,순정,20151021
45102,20140739,이은희,감독,순정,20151021
45103,10005672,김종래,감독,순정,20151021
45107,10006101,김태식,감독,태양을 쏴라 무삭제판,20151582
45112,10006101,김태식,감독,태양을 쏴라,20133681
45113,10036855,손수범,감독,태양을 쏴라,20133681
45114,10002449,권영철,감독,태양을 쏴라,20133681
45125,20080184,백승빈,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45126,10027774,민규동,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45127,20186944,정희재,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45128,10003598,김곡,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45129,20128050,김민,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45130,10004500,김선,감독,무서운 이야기 3 : 화성에서 온 소녀,20158242
45132,20379602,박규현,감독,늦봄2020,20216082
45138,10075727,케이트 쇼트랜드,감독,블랙 위도우,19880094
45145,10003461,기예르모 델 토로,감독,헬보이,20040623
45146,10009025,닐 마샬,감독,헬보이,20040623
45150,20123348,소준문,감독,미싱타는 여자들,20209269
45151,10005586,김정영,감독,미싱타는 여자들,20209269
45152,10043984,안해룡,감독,미싱타는 여자들,20209269
45233,20210747,신시아,감독,소은이의 무릎,20176026
45234,10072863,최헌규,감독,소은이의 무릎,20176026
45235,10060505,장준석,감독,소은이의 무릎,20176026
45245,10043558,안슬기,감독,해에게서 소년에게,20158795
45246,10028506,박기용,감독,해에게서 소년에게,20158795
45309,10036887,손원평,감독,가루지기,20080397
45310,10036887,손원평,감독,가루지기,19880009
45311,10065272,조근현,감독,가루지기,20080397
45312,10065272,조근현,감독,가루지기,19880009
45313,10027781,민동현,감독,가루지기,20080397
45314,10027781,민동현,감독,가루지기,19880009
45315,10040668,신한솔,감독,가루지기,20080397
45316,10040668,신한솔,감독,가루지기,19880009
45321,10004780,김수형,감독,우리들 세계,19770064
45325,10058705,임원식,감독,내마음 나도몰라,19770025
45326,10057543,이지룡,감독,내마음 나도몰라,19770025
45332,20115399,알폰소 알바세테,감독,섹스 파티 그리고 거짓말,20100336
45343,20323794,이주예,감독,보조바퀴,20218872
45372,20377375,송운,감독,화이트데이: 부서진 결계,20191503
45437,10056145,이수성,감독,휴가,20209143
45438,10056145,이수성,감독,휴가,20167102
45439,20306473,김건휘,감독,휴가,20209143
45440,20306473,김건휘,감독,휴가,20167102
45441,10002500,권호영,감독,휴가,20209143
45442,10002500,권호영,감독,휴가,20167102
45443,20144326,이란희,감독,휴가,20209143
45444,20144326,이란희,감독,휴가,20167102
45445,20120921,복운석,감독,휴가,20209143
45446,20120921,복운석,감독,휴가,20167102
45447,10054185,육상효,감독,휴가,20209143
45448,10054185,육상효,감독,휴가,20167102
45449,20174264,남근학,감독,휴가,20209143
45450,20174264,남근학,감독,휴가,20167102
45451,20306531,김윤선,감독,휴가,20209143
45452,20306531,김윤선,감독,휴가,20167102
45453,20111175,신나영,감독,휴가,20209143
45454,20111175,신나영,감독,휴가,20167102
45455,10005097,김용균,감독,휴가,20209143
45456,10005097,김용균,감독,휴가,20167102
45457,20110856,백정민,감독,휴가,20209143
45458,20110856,백정민,감독,휴가,20167102
45459,10060539,장진욱,감독,휴가,20209143
45460,10060539,장진욱,감독,휴가,20167102
