num,movie,sentence,score
181,자백,저는 김윤진씨의 발음이 뭔가 어눌한것같은 딕션이 명확하지 않은게 보는 내내 거슬렸어요 조금 덜 했지만 소지섭씨도 그랬고요 연기는 좋았지만 발음이 전부 부자연스러웠습니다 주인공 두분만 …..,6
182,아담스 패밀리 2,아주 재미있게 봤습니다.,10
183,인비저블 게스트,흥미진진하게 본 영화 중 하나,10
184,리멤버,"비현실적 요소가 많지만, 주제 메세지가 좋았다",8
185,20세기 소녀,나의 소녀시대 급 감동이었음 ㅠㅠ,10
186,리멤버,감동적이고 이성민의연기가 진짜 노인같았다,10
187,미스 슬로운,미친영화. 걍 보세여. ,10
188,20세기 소녀,하... 진짜인가 결말이 이게..,1
189,늑대사냥,이런 영화는 쓰레기통에 처넣어버려야한다,1
190,비상선언,나만 인생영화 됐나봄 재밌었음,10
191,정직한 후보2,확실히 1편보다는...,6
192,한나,평점이 너무 낮다. 뭐가 문제지??,10
193,20세기 소녀,여운이 계속 남네요..,10
194,스타게이저: 아스트로스코프,진짜 평생 아로하 할래요 6명 모두 너무 소중하네요.. 평생 함께해줬으면 좋겠어요??,10
195,20세기 소녀,다 괜찮았는데 결말이 진짜 엉망이네요. 스토리는 좋았는데 한효주 배우부터 연결이 안되요.. 정말 아쉽. ,8
196,럭키,너무 재밌고 웃겨서 잘 봤어요.ㅎㅎ,10
197,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,짱구 매니아 로써 이게 제일 재밌었다..짱구랑 아이들이 엉뚱해도 갈수록 자라고 있다는게 느껴짐..짱구는 진짜 만능캐 였던거 같음.. 이 영화보고 울뻔했습니다 ㅠㅠ 이걸 보고 청춘을 느끼다니..보면서 제가 왠지 짱구가 된것 같은 기분이 들었어요..,10
198,따귀 일곱대,남기남 감독인데 뭘 더 기대하냐..스포츠 재방송을 봐라,1
199,늑대사냥,"이 정도 배우진에 이 정도 제작비, 액션, 특수효과, 연출 쓰면서 이 정도 시나리오 밖에 못 만들은게 아쉬움 그래도 한국영화계에 전례 없던 새로운 시도이긴 했음",6
200,악마를 보았다,"최민식, 음성까지도 연기하는 정점의 액터중 하나. ",10
201,선과 악의 학교,비주얼적인거 빼고 .. 스토리가 너무 뻔해요 ㅠ,1
202,불릿 트레인,중반까진 각각 다른 맛을 내는 스시를 먹다가 메인 코스로 서더리탕이 나와버렸네...,6
203,컴백홈,이름만 옛날 컴백홈이 아니라 코메디도 옛날임,2
204,리멤버,이성민 배우의 연기력은정말 대단한 것 같았다모든 장면이 동판화에새기는 것 처럼 각인되며마지막 떨리는 독백 연기는모든 사람의 숨을 멈추게만들었다.,10
205,리멤버,이성민 배우의 연기력은정말 대단한 것 같았다모든 장면이 동판화에새기는 것 처럼 각인되며마지막 떨리는 독백 연기는모든 사람의 숨을 멈추게만들었다.,10
206,육사오(6/45),정말ㅣ정말 재밌습니다 꼭 보세요,10
207,늑대사냥,괜히 봤어요 ㅠㅠㅠ 너무 잔인,1
208,자백,다 예상 가능 해서 그다지,2
