,movieCd,showTime
828,20138222,116.0
829,20112018,83.0
830,20152321,98.0
831,20191162,97.0
832,20197391,104.0
833,20217427,85.0
834,19990285,90.0
835,20226579,60.0
836,20193642,79.0
837,20201784,103.0
838,20190268,84.0
839,20226444,76.0
840,20215048,85.0
841,20199541,104.0
842,20197483,79.0
843,20180442,128.0
844,20190522,97.0
845,20162343,123.0
846,20166127,91.0
847,20101241,68.0
848,20211476,78.0
849,20191030,90.0
850,20143502,108.0
851,20100657,98.0
852,20225897,89.0
853,20218685,76.0
854,20177266,101.0
855,20122785,93.0
856,20110004,90.0
857,20223985,96.0
858,19830085,104.0
859,20192193,114.0
860,20166384,90.0
861,20010051,112.0
862,20050129,97.0
