,movieCd,auditNo,watchGradeNm,watchCd
3944,19840060,,국민학생관람불가,12
3945,19830088,6220,연소자관람불가,19
3946,19800135,5880,연소자관람불가,19
3947,19800030,5895,연소자관람불가,19
3948,19790054,,,all
3949,19760035,,12세이상관람가,12
3950,19880005,88-13,연소자관람불가,19
3951,19840020,,국민학생관람불가,12
3952,19830076,6210,연소자관람불가,19
3953,19830068,6206,연소자관람불가,19
3954,19820080,6127,연소자관람불가,19
3955,19820073,6105,연소자관람불가,19
3956,19820054,6076,연소자관람불가,19
3957,19810024,5991,국민학생관람불가,12
3958,19808125,5938,연소자관람불가,19
3959,19800070,5916,연소자관람불가,19
3960,19800018,5887,연소자관람불가,19
3961,19800017,,,all
3962,19800020,,국민학생관람불가,12
3963,19790062,,국민학생관람불가,12
3964,19780054,,12세이상관람가,12
3965,19780033,,12세이상관람가,12
3966,19770055,,12세이상관람가,12
3967,19768008,,,all
3968,19720094,,12세이상관람가,12
3969,19560041,,,all
3970,19460021,,청소년관람불가,19
3971,19410019,,,all
3972,19890135,89-78,고등학생이상관람가,15
3973,19750014,,12세이상관람가,12
3974,19740120,,12세이상관람가,12
3975,19740054,,15세이상관람가,15
3976,19740170,,12세이상관람가,12
3977,19730102,,12세이상관람가,12
3978,19730100,,12세이상관람가,12
3979,19730098,,12세이상관람가,12
3980,19730097,,12세이상관람가,12
3981,19840025,,연소자관람불가,19
3982,19720057,,15세이상관람가,15
3983,19720049,,15세이상관람가,15
3984,19720001,,전체관람가,all
3985,19830002,6093,연소자관람가,all
3986,2010A522,,12세관람가,12
3987,19710142,,12세이상관람가,12
3988,19710125,,12세이상관람가,12
3989,20090188,2009-F104,전체관람가,all
3990,19840041,6255,연소자관람가,all
3991,19940031,94-238,연소자관람가,all
3992,20158385,2015-MF01162 ,청소년관람불가,19
3993,19860076,86-160,연소자관람불가,19
3994,19860015,85-77,연소자관람불가,19
3995,19840067,6282,국민학생관람불가,12
3996,19840039,6260,국민학생관람불가,12
3997,19810048,6028,국민학생관람불가,12
3998,19890017,88-330,연소자관람불가,19
3999,19860027,85-66,연소자관람가,all
4000,19850011,6283,국민학생관람불가,12
4001,19840029,6194,국민학생관람불가,12
4002,19810025,5992,국민학생관람불가,12
4003,19800073,5953,연소자관람불가,19
4004,19799055,,국민학생관람불가,12
4005,19780014,,12세이상관람가,12
4006,19778064,,,all
4007,20000007,2000-F167,18세관람가,19
4008,19940044,94-188,고등학생이상관람가,15
4009,20152182,2014-MF00862,12세이상관람가,12
4010,20163191,2016-MF00515,청소년관람불가,19
4011,19940065,94-28,연소자관람불가,19
4012,19930022,93-90,연소자관람불가,19
4013,20090116,87-2,미성년자관람불가,19
4014,19850008,6305,연소자관람불가,19
4015,19840035,6229,연소자관람불가,19
4016,19830044,6134,연소자관람가,all
4017,19790074,,국민학생관람불가,12
4018,20050314,93-148,연소자관람가,all
4019,20090945,2010-F33,15세이상관람가,15
4020,19980225,K98-159,12세 미만인 자는 관람할 수 없는 등급,12
4021,20010109,2000-F348,15세관람가,15
4022,20000140,2000-F072,12세관람가,12
4023,20090189,2009-F121,12세이상관람가,12
4024,20040690,2004-F287,18세관람가,19
4025,19990172,99-070,18세 미만인 자는 관람할 수 없는 등급,19
4026,19980080,K98-15,18세 미만인 자는 관람할 수 없는 등급,19
4027,19970128,97-81,연소자관람불가,19
4028,19950341,95-155,연소자관람가,all
4029,20108772,,,all
4030,20100355,2010-F211,청소년관람불가,19
4031,20081733,2008-F421,전체관람가,all
4032,19560023,,12세이상관람가,12
4033,19520015,,청소년관람불가,19
4034,19890085,89-378,고등학생이상관람가,15
4035,19880024,88-10,중학생이상관람가,12
4036,19880051,87-187,미성년자관람불가,19
4037,19860045,86-103,국민학생관람불가,12
4038,19960232,96-263,연소자관람가,all
4039,19698124,,,all
4040,20000190,2000-F087,12세관람가,12
4041,19750102,,12세이상관람가,12
4042,19980078,K98-24,15세 미만인 자는 관람할 수 없는 등급 ,15
4043,19980065,K98-31,15세 미만인 자는 관람할 수 없는 등급 ,15
4044,19750036,,15세이상관람가,15
4045,20090217,2009-F92,12세이상관람가,12
4046,20040692,2004-F288,18세관람가,19
4047,20040455,2004-F037,18세관람가,19
4048,20000293,2000-F296,15세관람가,15
4049,20000265,2000-F255,15세관람가,15
4050,19990310,99-F170,18세관람가,19
4051,19990109,K98-272,18세 미만인 자는 관람할 수 없는 등급,19
4052,19970135,99-105,15세 미만인 자는 관람할 수 없는 등급 ,15
4053,19940099,94-23,중학생이상관람가,12
4054,19900357,90-399,고등학생이상관람가,15
4055,19898434,91-229,중학생이상관람가,12
4056,19909247,91-115,고등학생이상관람가,15
4057,19880188,88-275,고등학생이상관람가,15
4058,20090916,2009-F472,15세이상관람가,15
4059,20090883,2009-F396,15세이상관람가,15
